,Hour,Temperature
0,20:00,10
1,21:00,9
2,22:00,8
3,23:00,6
4,00:00,6
5,01:00,5
6,02:00,5
7,03:00,5
8,04:00,5
9,05:00,4
10,06:00,4
11,07:00,4
12,08:00,4
13,09:00,6
14,10:00,8
15,11:00,9
16,12:00,9
17,13:00,9
18,14:00,10
19,15:00,10
20,16:00,9
21,17:00,9
22,18:00,9
23,19:00,8
24,20:00,8
25,21:00,8
26,22:00,7
27,23:00,6
28,00:00,6
29,01:00,6
30,02:00,6
31,03:00,5
32,04:00,5
33,05:00,4
34,06:00,4
35,07:00,4
36,08:00,4
37,09:00,6
38,10:00,7
39,11:00,7
40,12:00,8
41,13:00,8
42,14:00,8
43,15:00,9
44,16:00,9
45,17:00,9
46,18:00,8
47,19:00,7
