,PCEA Months 1&2,PCEA Months 3&4,PCEA Months 5&6,PCEA Months 7&8,PCEA Months 9&10,PCEA Months 11&12,ESB Months 1&2,ESB Months 3&4,ESB Months 5&6,ESB Months 7&8,ESB Months 9&10,ESB Months 11&12
0,-3.584786568948141e-08,2.162596340254489e-05,0.00026593885094681455,-7.582920378872488e-11,0.6979148052089535,-7.194533685085217e-05,0.0,0.0,0.0,0.0,0.0,0.0
1,1675.0925653276804,1667.513723267852,1465.1082769566149,1566.6876942225551,1427.3716243935999,1659.7565625230088,1675.0925653276804,1667.513723267852,1465.1082769566149,1566.6876942225551,1427.3716243935999,1659.7565625230088
2,1663.6991152571293,1667.5982896893483,1426.8271658749416,1557.5429660278983,1410.0814485179856,1680.8280856769388,3338.79168058481,3335.1120129572,2891.9354428315564,3124.230660250453,2837.4530729115854,3340.584648199948
3,1625.532866333917,1668.3044917329657,1445.8186198505373,1587.0138152528577,1435.9938481412232,1675.0928312044637,4964.324546918727,5003.416504690165,4337.754062682094,4711.244475503311,4273.446921052809,5015.677479404411
4,1654.43530919065,1662.0696752727406,1429.8591448611303,1561.0710227979569,1420.794040263394,1687.0336954431393,6618.759856109376,6665.486179962906,5767.613207543224,6272.315498301268,5694.240961316203,6702.711174847551
5,1690.6200751343258,1666.7235992798921,1339.48717669687,1442.3898674632412,1321.59845370201,1648.6448020482185,8309.379931243702,8332.209779242798,7107.100384240094,7714.705365764509,7015.839415018212,8351.35597689577
6,845.3100366514566,-2488.85573877639,1246.9514569959774,1142.6473177297378,727.8617077896663,824.3222313428981,9154.68996789516,5843.354040466407,8354.051841236073,8857.352683494248,7743.701122807878,9175.678208238667
7,-4577.34498893369,-2921.673896846967,-4177.025830485074,571.3236596262632,1128.149438542591,-2285.498447546594,4577.34497896147,2921.68014361944,4177.0260107509985,9428.67634312051,8871.85056135047,6890.179760692074
8,-547.0485502912167,-1460.8362725974314,-225.5846461931267,285.6618309591536,-521.6963635188637,-3445.089675226041,4030.296428670253,1460.8438710220087,3951.4413645578716,9714.338174079665,8350.154197831605,3445.0900854660326
9,-1713.7292397706851,614.5562861903821,1162.1496056910094,142.83091528389696,-1672.8802947458933,-1722.1686697820724,2316.567188899568,2075.4001572123907,5113.590970248881,9857.169089363562,6677.273903085712,1722.9214156839603
10,-1158.2835985802617,-1037.691836321004,1138.161469713296,-16.63231560470441,-2615.530132331318,-295.90676908691336,1158.2835903193063,1037.7083208913866,6251.752439962176,9840.536773758859,4061.743770754394,1427.014646597047
11,-479.3322643950412,1736.5203347766708,1050.4151742073234,79.73161000239888,1191.3369589529855,909.6889161647383,678.9513259242651,2774.2286556680574,7302.1676141695,9920.268383761257,5253.08072970738,2336.703562761785
12,1612.833001504467,1740.443991888271,504.4111253788503,39.86580833388133,1197.9321618284434,1405.34242028021,2291.784327428732,4514.672647556328,7806.57873954835,9960.134192095138,6451.012891535824,3742.045983041995
13,1608.6401318345208,1742.0875007609288,1096.71035659392,19.93290562419568,1198.7186241448414,1495.2731379030902,3900.424459263253,6256.760148317257,8903.28909614227,9980.067097719333,7649.731515680665,5237.319120945085
14,1596.1361567896338,1769.7393440447338,548.355430762058,9.966451934866528,1175.1342421462195,1504.5321342822176,5496.560616052887,8026.499492361991,9451.644526904329,9990.0335496542,8824.865757826885,6741.851255227302
15,1603.8829996864345,986.7492596248829,274.17744815433906,4.983229770922286,587.567121028027,1504.8685677422275,7100.443615739321,9013.248751986874,9725.821975058669,9995.016779425121,9412.432878854912,8246.71982296953
16,1449.7781932933106,493.375660566939,-833.3991082544859,-4997.5083899519495,-1350.6322010285965,865.0181631726334,8550.221809032631,9506.624412553812,8892.422866804183,4997.5083894731715,8061.800677826315,9111.737986142163
17,-4275.110914442848,246.68736238611714,-240.7758169625237,-2498.7541941187164,-878.6892628027915,-3846.7515547348826,4275.110894589783,9753.31177493993,8651.64704984166,2498.754195354455,7183.1114150235235,5264.98643140728
18,-2137.5554499600926,-4876.655895127272,-4325.823387214326,-1249.3770973055675,-3591.5557075076586,-2632.1620249018274,2137.5554446296906,4876.655879812658,4325.823662627334,1249.3770980488875,3591.555707515865,2632.8244065054528
19,-1068.777726070336,-2438.3279399827816,-2162.911746963384,-624.6885487197474,-1795.777853781306,-1316.4119431795452,1068.7777185593545,2438.3279398298764,2162.91191566395,624.6885493291402,1795.777853734559,1316.4124633259075
20,-534.388863769187,-1219.1639699246157,-1081.4557509850686,-312.34427466572555,-896.0416047854745,-650.4295210367895,534.3888547901676,1219.1639699052607,1081.4561646788814,312.34427466341464,899.7362489490844,665.982942289118
21,-267.1944302951784,-609.5819849624901,-540.7280092726019,-156.17213733011417,-449.8681244714571,-331.8969276930327,267.19442449498916,609.5819849427706,540.7281554062795,156.17213733330047,449.86812447762725,334.0860145960853
22,-133.59721273722292,-304.7909924809639,-270.3640545554363,-78.08606866115991,-224.93406224179253,-167.04328000896845,133.59721175776625,304.79099246180675,270.36410085084316,78.08606867214056,224.93406223583472,167.04273458711685
23,-66.79860633218993,-152.3954962414324,-135.18173866495334,-39.04303432274687,-104.68041134310718,-83.52169810795145,66.79860542557631,152.39549622037435,135.18236218588982,39.043034349393686,120.25365089272753,83.5210364791654
