\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2020-01-31 08:02:14,,,,,,,,
\\For 2019,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
2019-01-01,1,0.00,0.00,0.00,-0.02,1.24,0.20,0.10
2019-01-01,2,0.00,0.00,0.00,-0.02,1.23,0.19,0.10
2019-01-01,3,-0.11,-0.13,-0.13,-0.25,1.25,0.19,0.10
2019-01-01,4,-1.84,-2.13,-3.00,-2.13,1.25,0.19,0.10
2019-01-01,5,-0.47,-0.13,-3.00,-3.00,1.25,0.19,0.10
2019-01-01,6,-0.03,-0.10,-0.10,-3.00,1.28,0.19,0.10
2019-01-01,7,-2.93,-3.00,-3.00,-0.10,1.26,0.20,0.10
2019-01-01,8,-0.03,-0.10,-0.02,-0.13,1.41,0.20,0.10
2019-01-01,9,0.00,0.00,0.00,-0.25,1.41,0.20,0.10
2019-01-01,10,0.00,0.00,0.00,0.00,1.41,0.18,0.10
2019-01-01,11,2.70,2.00,2.00,0.00,1.43,0.18,0.14
2019-01-01,12,0.00,5.00,5.00,5.00,0.32,0.18,0.10
2019-01-01,13,0.00,5.00,5.00,5.00,0.31,0.20,0.10
2019-01-01,14,0.38,5.94,5.88,5.98,0.31,0.20,0.11
2019-01-01,15,2.32,5.94,13.30,6.56,0.31,0.20,0.14
2019-01-01,16,7.22,13.35,13.36,14.39,0.30,0.20,0.19
2019-01-01,17,8.41,21.00,21.00,32.01,1.41,1.41,1.41
2019-01-01,18,21.51,21.01,23.56,34.53,6.48,6.48,4.94
2019-01-01,19,30.18,21.01,21.01,27.01,6.81,6.81,5.95
2019-01-01,20,31.16,23.00,23.00,27.50,4.75,4.75,4.75
2019-01-01,21,26.89,21.01,21.01,27.01,1.41,1.41,1.41
2019-01-01,22,15.67,21.02,21.01,32.24,0.45,0.45,0.45
2019-01-01,23,10.99,21.02,21.01,30.85,1.41,0.20,0.20
2019-01-01,24,15.85,21.01,21.02,21.02,1.44,0.20,0.20
2019-01-02,1,33.45,21.00,21.00,21.00,1.23,0.20,0.20
2019-01-02,2,14.75,21.00,21.00,21.00,1.22,0.20,0.20
2019-01-02,3,13.36,21.00,21.00,13.35,1.23,0.20,0.20
2019-01-02,4,13.33,13.38,13.37,13.34,1.22,0.20,0.20
2019-01-02,5,10.23,21.00,21.00,21.00,1.22,0.20,0.20
2019-01-02,6,6.40,21.01,21.01,28.97,1.35,0.20,0.20
2019-01-02,7,10.94,32.36,32.44,35.93,0.20,0.20,0.20
2019-01-02,8,16.00,32.36,32.36,35.93,0.25,0.25,0.25
2019-01-02,9,19.32,32.34,32.36,34.72,0.45,0.45,0.45
2019-01-02,10,19.29,28.97,31.06,32.40,0.39,0.39,0.39
2019-01-02,11,25.50,24.00,26.00,27.03,0.31,0.31,0.31
2019-01-02,12,32.24,31.06,29.00,32.35,0.20,0.20,0.20
2019-01-02,13,32.35,32.34,32.23,32.35,0.20,0.20,0.20
2019-01-02,14,32.37,32.36,32.35,33.62,0.20,0.15,0.15
2019-01-02,15,31.07,27.11,27.01,32.50,0.18,0.17,0.17
2019-01-02,16,35.96,35.93,35.93,35.93,0.20,0.18,0.18
2019-01-02,17,36.83,35.93,35.93,40.47,0.20,0.20,0.20
2019-01-02,18,49.08,42.70,42.09,37.76,0.85,0.85,0.45
2019-01-02,19,36.02,42.09,42.09,35.93,0.45,0.45,0.42
2019-01-02,20,50.93,35.93,35.93,35.93,0.54,0.54,0.42
2019-01-02,21,88.60,35.00,35.93,35.93,3.46,3.46,2.98
2019-01-02,22,40.61,34.24,33.66,34.11,0.20,0.20,0.19
2019-01-02,23,9.99,27.08,28.97,23.56,1.26,0.20,0.20
2019-01-02,24,5.14,13.35,13.36,7.71,1.25,0.20,0.17
2019-01-03,1,0.00,5.88,7.71,5.83,1.17,0.20,0.10
2019-01-03,2,0.96,5.81,6.00,5.00,1.15,0.19,0.12
2019-01-03,3,0.00,5.00,5.00,5.83,1.15,0.18,0.10
2019-01-03,4,0.00,5.00,5.00,5.00,1.15,0.17,0.10
2019-01-03,5,0.00,5.68,5.86,5.68,1.17,0.20,0.10
2019-01-03,6,0.00,13.34,13.34,13.33,1.16,0.19,0.10
2019-01-03,7,1.48,21.00,21.00,21.00,1.16,0.20,0.13
2019-01-03,8,16.38,35.93,35.93,35.93,0.45,0.45,0.45
2019-01-03,9,56.14,34.00,35.93,33.25,6.43,6.31,6.31
2019-01-03,10,86.45,21.00,21.00,23.41,18.03,18.03,18.03
2019-01-03,11,17.37,21.60,21.00,21.63,0.45,0.44,0.44
2019-01-03,12,12.73,35.00,25.60,21.00,0.20,0.20,0.20
2019-01-03,13,8.40,31.00,25.60,21.01,0.26,0.20,0.20
2019-01-03,14,13.35,21.01,31.47,20.82,0.20,0.20,0.20
2019-01-03,15,14.00,21.01,21.01,21.83,0.29,0.29,0.29
2019-01-03,16,14.15,21.00,21.00,28.23,0.45,0.45,0.45
2019-01-03,17,18.80,30.53,30.53,31.45,3.03,3.03,3.03
2019-01-03,18,18.48,35.93,35.93,34.74,11.90,11.73,10.96
2019-01-03,19,9.49,29.07,30.76,34.00,20.45,18.53,18.53
2019-01-03,20,13.65,21.00,21.01,31.52,8.31,8.31,8.31
2019-01-03,21,14.24,20.50,21.00,30.97,1.27,1.27,1.27
2019-01-03,22,8.53,13.33,13.38,13.34,0.20,0.20,0.19
2019-01-03,23,0.87,5.83,5.50,5.96,1.16,0.20,0.12
2019-01-03,24,0.00,0.00,5.68,5.00,1.15,0.20,0.10
2019-01-04,1,0.00,0.00,5.00,5.00,1.27,0.15,0.10
2019-01-04,2,0.00,0.00,0.00,0.00,1.27,0.15,0.10
2019-01-04,3,0.00,0.00,0.00,0.00,1.27,0.15,0.10
2019-01-04,4,0.00,0.00,0.00,0.00,1.27,0.15,0.10
2019-01-04,5,-0.01,0.00,0.00,0.00,1.25,0.15,0.10
2019-01-04,6,0.00,5.72,5.00,5.00,1.27,0.18,0.10
2019-01-04,7,0.00,5.68,5.96,5.72,1.18,0.18,0.10
2019-01-04,8,2.32,13.34,13.33,13.34,1.41,0.20,0.14
2019-01-04,9,0.00,5.87,13.32,6.64,1.41,0.24,0.10
2019-01-04,10,1.81,5.72,13.23,6.02,1.19,0.20,0.13
2019-01-04,11,10.97,5.17,5.81,5.74,1.26,0.24,0.24
2019-01-04,12,13.34,5.98,6.02,5.00,0.20,0.20,0.20
2019-01-04,13,5.91,5.85,5.74,5.74,0.28,0.20,0.20
2019-01-04,14,8.38,13.34,13.35,13.31,0.25,0.25,0.25
2019-01-04,15,5.56,15.13,13.37,15.13,0.31,0.31,0.31
2019-01-04,16,6.67,25.08,22.15,21.01,1.38,1.25,1.25
2019-01-04,17,11.39,21.01,21.01,27.46,3.89,3.89,3.89
2019-01-04,18,22.05,21.00,21.00,25.38,17.28,17.28,17.04
2019-01-04,19,22.27,21.00,21.00,27.08,13.58,11.76,6.78
2019-01-04,20,13.35,25.70,25.70,27.87,4.75,4.75,4.75
2019-01-04,21,26.72,21.00,21.00,28.08,1.76,1.76,1.76
2019-01-04,22,29.30,21.25,21.25,27.46,0.23,0.23,0.23
2019-01-04,23,24.98,21.25,21.25,22.00,0.27,0.20,0.20
2019-01-04,24,23.00,21.00,21.00,21.00,1.45,0.20,0.20
2019-01-05,1,13.16,13.37,13.37,13.32,1.25,0.20,0.20
2019-01-05,2,1.43,13.32,13.30,13.29,1.25,0.20,0.13
2019-01-05,3,5.81,6.02,9.00,7.71,1.24,0.20,0.20
2019-01-05,4,5.75,5.70,5.88,9.00,1.24,0.20,0.20
2019-01-05,5,5.91,5.86,5.86,5.70,1.23,0.20,0.20
2019-01-05,6,5.95,5.88,5.86,5.85,1.22,0.20,0.20
2019-01-05,7,10.25,13.34,13.34,9.00,1.17,0.20,0.20
2019-01-05,8,10.30,21.00,21.00,21.00,1.23,0.29,0.29
2019-01-05,9,33.92,20.88,21.00,20.88,1.24,0.48,0.48
2019-01-05,10,17.63,24.93,21.01,21.00,1.24,0.24,0.24
2019-01-05,11,49.60,22.45,23.68,21.01,1.12,0.31,0.31
2019-01-05,12,65.43,22.00,21.01,21.01,2.51,2.51,2.51
2019-01-05,13,15.71,29.68,22.68,21.01,0.27,0.20,0.20
2019-01-05,14,15.38,22.00,21.38,21.01,0.28,0.20,0.20
2019-01-05,15,14.03,21.00,21.00,21.01,0.28,0.20,0.20
2019-01-05,16,13.32,21.00,21.00,21.00,0.45,0.45,0.45
2019-01-05,17,5.67,22.08,21.01,21.01,1.29,1.29,1.29
2019-01-05,18,5.83,21.01,21.01,21.01,2.60,2.60,2.60
2019-01-05,19,5.31,13.36,13.36,13.34,4.75,4.75,4.75
2019-01-05,20,10.34,13.39,21.00,13.38,1.27,1.27,1.27
2019-01-05,21,5.36,13.31,13.33,13.31,0.45,0.45,0.45
2019-01-05,22,5.70,13.30,13.30,5.94,0.20,0.20,0.20
2019-01-05,23,0.00,5.00,5.00,3.22,1.25,0.20,0.10
2019-01-05,24,0.00,0.00,0.00,0.00,1.21,0.20,0.10
2019-01-06,1,0.00,0.00,0.00,0.00,1.23,0.17,0.10
2019-01-06,2,0.00,0.00,0.00,0.00,1.24,0.17,0.10
2019-01-06,3,0.00,0.00,0.00,0.00,1.25,0.17,0.10
2019-01-06,4,0.00,0.00,0.00,0.00,1.25,0.17,0.10
2019-01-06,5,0.00,0.00,0.00,0.00,1.24,0.17,0.10
2019-01-06,6,0.00,0.00,0.00,0.00,1.23,0.18,0.10
2019-01-06,7,0.00,0.00,0.00,0.00,1.17,0.18,0.10
2019-01-06,8,0.00,3.00,3.00,3.00,1.23,0.18,0.10
2019-01-06,9,4.16,5.81,5.86,3.00,1.21,0.19,0.17
2019-01-06,10,5.72,5.96,5.96,5.96,1.20,0.20,0.20
2019-01-06,11,3.35,5.96,5.96,5.92,1.12,0.20,0.16
2019-01-06,12,0.00,5.96,6.48,6.48,0.20,0.20,0.10
2019-01-06,13,6.63,6.56,14.35,14.33,0.20,0.20,0.20
2019-01-06,14,12.24,14.24,14.34,14.35,0.20,0.20,0.20
2019-01-06,15,23.93,16.47,21.00,14.37,0.27,0.20,0.20
2019-01-06,16,12.25,21.00,21.00,21.00,0.26,0.20,0.20
2019-01-06,17,15.41,21.00,21.00,21.00,0.45,0.45,0.45
2019-01-06,18,47.46,27.63,27.65,31.33,14.32,14.32,14.32
2019-01-06,19,16.97,24.70,24.70,30.78,6.31,6.31,6.31
