,Hour,Hourly Cost,PCEA,ESB
0,18,126.57914040000041,1.8641649281105756e-12,0.0
1,19,164.17843189193658,173.6053728266545,173.6053728266545
2,20,168.92063367673381,173.17064964625644,346.77602247291094
3,21,358.2484940600042,1061.4198033270216,1408.1958257999324
4,22,354.9092193645613,1061.9148793727056,2470.110705172638
5,23,536.2531401144525,1950.4436128348575,4420.554318007496
6,0,538.3945749888634,1949.6004183548393,6370.154736362335
7,1,358.8766841678733,1061.3366163297542,7431.491352692089
8,2,358.8627939415116,1061.2721212153688,8492.763473907458
9,3,292.38842610322325,753.6182630435794,9246.381736951038
10,4,216.99920960754037,376.8091315354077,9623.190868486447
11,5,170.64842553910788,170.02782474964465,9793.218693236091
12,6,160.8327169104769,103.39065337587681,9896.609346611967
13,7,153.89135643730046,51.69532670516899,9948.304673317136
14,8,139.4031735219942,25.84766332728556,9974.152336644422
15,9,135.64196192192986,12.923831648318231,9987.07616829274
16,10,134.00294141683042,6.461915871257431,9993.538084163998
17,11,133.23706754283486,3.2309579081184885,9996.769042072117
18,12,134.01586528366028,1.61547896080212,9998.38452103292
19,13,-148.99833849605426,-1101.57375687672,8896.8107641562
20,14,-156.8284950350121,-1101.611085044802,7795.199679111398
21,15,-392.2781554520318,-1990.1111907573436,5805.088488354055
22,16,-380.5505998121336,-1988.8916527939966,3816.1968355600584
23,17,-361.51016662388287,-1908.09841777902,1908.0984177810383
24,18,-101.67836321705566,-954.0492088949517,954.0492088860866
25,19,113.12767947304366,-131.35315843877956,822.696050447307
26,20,57.836783260081475,-369.2070484265312,453.48900202077584
27,21,94.4211957521911,-226.74450100993758,226.74450101083826
28,22,133.73993829493887,-44.73384661391257,182.0106543969257
29,23,135.16643254829233,-45.9606044008255,136.0500499961002
30,0,137.76533484284312,-46.442446056116545,89.60760393998365
31,1,205.4373521588589,226.43664325330866,316.04424719329234
32,2,124.76274060509358,-100.06594997598586,215.97829721730648
33,3,156.62251136721832,29.875455172175258,245.85375238948174
34,4,118.14249887893908,-122.92687618363777,122.92687620584397
35,5,155.46927156906543,34.96243501836324,157.8893112242072
36,6,133.17665713659815,-78.94465559415131,78.94465563005589
37,7,148.15590332822362,-11.560959085837945,67.38369654421794
38,8,148.95839797810578,42.81051642739089,110.19421297160883
39,9,172.96677719802372,172.7775701118914,282.9717830835002
40,10,176.30419149672346,209.070960407399,492.0427434908992
41,11,67.70813643011505,-246.02137176850783,246.0213717223914
42,12,102.26050791450983,-84.37407519931736,161.64729652307403
43,13,102.84445958286972,-80.82364826286822,80.82364826020581
44,14,105.22837499143846,-40.411824131418385,40.41182412878743
45,15,114.59724900307353,-20.20591206474694,20.20591206404049
46,16,126.99644619162379,-10.102956032000735,10.102956032039755
47,17,123.62786627402765,-5.051478015999935,5.05147801603982
