,Hour,Temperature
0,19:00,5
1,20:00,4
2,21:00,4
3,22:00,3
4,23:00,3
5,00:00,2
6,01:00,2
7,02:00,3
8,03:00,3
9,04:00,3
10,05:00,4
11,06:00,4
12,07:00,4
13,08:00,5
14,09:00,6
15,10:00,7
16,11:00,9
17,12:00,10
18,13:00,11
19,14:00,13
20,15:00,13
21,16:00,14
22,17:00,14
23,18:00,14
24,19:00,13
25,20:00,12
26,21:00,12
27,22:00,11
28,23:00,10
29,00:00,10
30,01:00,10
31,02:00,10
32,03:00,10
33,04:00,10
34,05:00,9
35,06:00,9
36,07:00,9
37,08:00,8
38,09:00,8
39,10:00,7
40,11:00,7
41,12:00,7
42,13:00,6
43,14:00,6
44,15:00,6
45,16:00,7
46,17:00,7
47,18:00,6
