,Hour,Temperature
0,19:00,10
1,20:00,9
2,21:00,9
3,22:00,8
4,23:00,7
5,00:00,7
6,01:00,6
7,02:00,6
8,03:00,5
9,04:00,5
10,05:00,5
11,06:00,4
12,07:00,4
13,08:00,5
14,09:00,6
15,10:00,7
16,11:00,7
17,12:00,7
18,13:00,8
19,14:00,9
20,15:00,9
21,16:00,8
22,17:00,8
23,18:00,8
24,19:00,8
25,20:00,8
26,21:00,8
27,22:00,7
28,23:00,7
29,00:00,7
30,01:00,7
31,02:00,7
32,03:00,7
33,04:00,7
34,05:00,7
35,06:00,7
36,07:00,7
37,08:00,7
38,09:00,8
39,10:00,8
40,11:00,9
41,12:00,9
42,13:00,9
43,14:00,10
44,15:00,10
45,16:00,10
46,17:00,10
47,18:00,10
