Hour,0,1,2,3,4,5
0,0,0,0,0,0,0
1,1663.901264,1731.330682,1518.320074,1726.961151,3076.789536,1647.878781
2,3325.229128,3462.986534,3048.993852,3421.150969,4224.442138,3333.199294
3,4971.646129,5195.728223,4563.716021,5143.843565,5095.451885,5001.930164
4,6640.763666,6921.997511,6095.498508,6841.556697,6063.640373,6680.241674
5,8320.381838,8460.998755,7513.605088,8420.399292,7136.993153,8340.120797
6,9160.190924,6012.97222,8731.742873,9198.475333,7573.079853,9170.060357
7,4580.09546,3006.48611,6765.844663,9599.127175,7880.78229,7457.402166
8,4043.641761,1591.220374,4277.412086,9799.562445,7363.081033,3728.701055
9,2054.573444,1718.492281,4759.375112,9899.781223,5955.120558,1864.350507
10,1027.286718,859.2461407,5340.912145,9816.50596,3070.207512,932.1752629
11,1866.764065,2659.683549,5871.753614,9908.251681,5553.756711,1153.537504
12,3459.346133,4465.496419,6619.419419,9954.12584,7217.08412,2669.393403
13,5056.061983,6271.997985,7272.837757,9977.061798,8264.924154,4164.808901
14,6665.394467,8109.313107,8084.326838,9988.530899,9132.462065,5669.320836
15,8285.829447,9054.656553,8931.9864,9994.265432,8977.646303,7178.217006
16,9142.914725,9527.328277,8711.174548,4997.132716,7815.214001,8589.108453
17,4571.457361,9763.664138,9355.587221,2498.566358,5322.993916,4294.554244
18,2285.72868,4881.832069,4497.118714,1249.283576,2661.496957,2147.277114
19,1142.86434,2440.916035,2759.884995,624.6431944,1334.221595,1073.638547
20,571.43217,1220.458017,2140.364076,312.3237049,2551.516902,536.8192716
21,285.716085,610.2290088,713.4548255,156.1712919,850.5056323,268.4096347
22,142.8580424,305.1145044,237.8184118,79.35862322,283.5018763,192.4535665
23,1761.905363,1508.317173,79.27281026,1714.366902,94.50062372,1710.156973
