Hour,0,1,2,3,4,5
0,-1.25E-09,7.76E-11,1766.190311,1.95E-13,-7.15E-10,1.47E-06
1,1663.901264,1731.330682,3284.510385,1726.961151,3076.789536,1647.878782
2,1661.327864,1731.655852,3246.163208,1717.862284,3059.29721,1685.320515
3,1646.417001,1732.741689,3268.55883,1746.365062,2811.712525,1668.730873
4,1669.117537,1726.269288,3263.223369,1721.385598,3082.777937,1678.311512
5,1679.618172,1539.001244,3154.883094,1602.512204,2969.810609,1659.879125
6,839.8090858,-2448.026535,3063.254585,801.7456507,2466.276079,829.9395619
7,-4580.095464,-3006.48611,-29.15296204,400.8728254,2841.426347,-1712.65819
8,-536.4536983,-1415.265736,2482.414266,200.4352706,204.5074024,-3728.701111
9,-1989.068318,127.2719073,2999.548714,100.2187774,-938.9329136,-1864.350548
10,-1027.286726,-859.2461403,2550.624269,-83.27526275,-2559.134129,-932.1752436
11,839.4773475,1800.437409,2980.217049,91.74572077,2809.328114,221.3622409
12,1592.582068,1805.812869,2767.448648,45.87415969,2840.496845,1515.855899
13,1596.715851,1806.501567,2885.969769,22.9359576,2225.009469,1495.415498
14,1609.332484,1837.315122,2925.519162,11.46910105,2044.707346,1504.511935
15,1620.43498,945.3434465,2922.140149,5.734533098,1022.353673,1508.896169
16,857.0852776,472.6717234,1633.314897,-4997.132716,-1162.432302,1410.891447
17,-4571.457364,236.3358617,2032.450835,-2498.566358,-2492.220086,-4294.554209
18,-2285.728681,-4881.832069,-3470.430345,-1249.282782,-2661.496959,-2147.27713
19,-1142.86434,-2440.916035,-710.5455718,-624.6403815,-1327.275362,-1073.638566
20,-571.43217,-1220.458017,1429.818058,-312.3194895,1224.241542,-536.8192756
21,-285.716085,-610.2290086,2143.272603,-156.152413,2074.747177,-268.4096369
22,-142.8580426,-305.1145043,2381.09077,-76.81266864,2358.249055,-75.95606823
23,1619.047321,1203.202668,2460.363542,1635.008279,2452.749681,1634.200919
